"_id","videoFile","thumbnail","title","description","views","isPublished","categories","owner","createdAt","updatedAt"
"66e6986f0c8eb3eec283123a","https://res.cloudinary.com/dybgs03yy/video/upload/v1726385255/wsdzuuyrka8rj3ypqmg7.mp4","https://res.cloudinary.com/dybgs03yy/image/upload/v1727490455/euqdjxg4jwk2outnybst.jpg","A Culinary Journey Through Italy","Experience the rich culinary traditions of Italy, from pasta making to wine tasting.",0,true,"food, travel","66619677acfebd8a444b9c43","2024-09-15T08:18:55.103Z","2024-09-15T08:18:55.103Z"
"66e6986f0c8eb3eec283123b","https://res.cloudinary.com/dybgs03yy/video/upload/v1726385255/wsdzuuyrka8rj3ypqmg7.mp4","https://res.cloudinary.com/dybgs03yy/image/upload/v1727490320/zmxxfaly7zsuc4lb7kbf.png","The Evolution of Video Games","Explore the history of video games, from arcade classics to modern day eSports.",0,true,"gaming, history","66619677acfebd8a444b9c43","2024-09-15T08:18:55.103Z","2024-09-15T08:18:55.103Z"
"66e6986f0c8eb3eec283123c","https://res.cloudinary.com/dybgs03yy/video/upload/v1726385255/wsdzuuyrka8rj3ypqmg7.mp4","https://res.cloudinary.com/dybgs03yy/image/upload/v1727475062/scmgwjuky4api60bhslp.jpg","Mindfulness Meditation for Beginners","A guided introduction to mindfulness meditation techniques for mental clarity and stress reduction.",0,true,"wellness, fitness","66619677acfebd8a444b9c43","2024-09-15T08:18:55.103Z","2024-09-15T08:18:55.103Z"
"66e6986f0c8eb3eec283123d","https://res.cloudinary.com/dybgs03yy/video/upload/v1726385255/wsdzuuyrka8rj3ypqmg7.mp4","https://res.cloudinary.com/dybgs03yy/image/upload/v1727490455/euqdjxg4jwk2outnybst.jpg","Mastering Data Science with Python","Learn the fundamentals of data science, from data cleaning to machine learning using Python.",0,true,"education, coding","66619677acfebd8a444b9c43","2024-09-15T08:18:55.103Z","2024-09-15T08:18:55.103Z"
"66e6986f0c8eb3eec283123e","https://res.cloudinary.com/dybgs03yy/video/upload/v1726385255/wsdzuuyrka8rj3ypqmg7.mp4","https://res.cloudinary.com/dybgs03yy/image/upload/v1727494263/z37gdu6ck0s7flo12nom.jpg","Exploring Ancient Roman Architecture","Discover the architectural marvels of ancient Rome, from the Colosseum to the Pantheon.",0,true,"history, architecture","66619677acfebd8a444b9c43","2024-09-15T08:18:55.103Z","2024-09-15T08:18:55.103Z"
"66e6986f0c8eb3eec283123f","https://res.cloudinary.com/dybgs03yy/video/upload/v1726385255/wsdzuuyrka8rj3ypqmg7.mp4","https://res.cloudinary.com/dybgs03yy/image/upload/v1727487022/ieo6innx7fm443mc6aec.webp","The Physics of Roller Coasters","An educational video explaining the physics behind roller coasters and their thrilling experiences.",0,true,"science, education","66619677acfebd8a444b9c43","2024-09-15T08:18:55.104Z","2024-09-15T08:18:55.104Z"
"66e6986f0c8eb3eec2831240","https://res.cloudinary.com/dybgs03yy/video/upload/v1726385255/wsdzuuyrka8rj3ypqmg7.mp4","https://res.cloudinary.com/dybgs03yy/image/upload/v1727487227/qda6snct2vhyaukrvol0.jpg","Introduction to JavaScript","A beginner's guide to JavaScript, covering basic concepts and syntax.",0,true,"coding","66619677acfebd8a444b9c43","2024-09-15T08:18:55.104Z","2024-09-15T08:18:55.104Z"
"66e6986f0c8eb3eec2831241","https://res.cloudinary.com/dybgs03yy/video/upload/v1726385255/wsdzuuyrka8rj3ypqmg7.mp4","https://res.cloudinary.com/dybgs03yy/image/upload/v1727490455/euqdjxg4jwk2outnybst.jpg","Advanced Python Techniques","Explore advanced Python techniques and libraries to enhance your programming skills.",0,true,"coding","66619677acfebd8a444b9c43","2024-09-15T08:18:55.104Z","2024-09-15T08:18:55.104Z"
"66e6986f0c8eb3eec2831242","https://res.cloudinary.com/dybgs03yy/video/upload/v1726385255/wsdzuuyrka8rj3ypqmg7.mp4","https://res.cloudinary.com/dybgs03yy/image/upload/v1727475062/scmgwjuky4api60bhslp.jpg","Building Web Apps with React","Learn how to build interactive web applications using React.js.",0,true,"coding","66619677acfebd8a444b9c43","2024-09-15T08:18:55.104Z","2024-09-15T08:18:55.104Z"
"66e6986f0c8eb3eec2831243","https://res.cloudinary.com/dybgs03yy/video/upload/v1726385255/wsdzuuyrka8rj3ypqmg7.mp4","https://res.cloudinary.com/dybgs03yy/image/upload/v1727475062/scmgwjuky4api60bhslp.jpg","Understanding APIs","A comprehensive guide to understanding and working with APIs in modern applications.",0,true,"coding","66619677acfebd8a444b9c43","2024-09-15T08:18:55.104Z","2024-09-15T08:18:55.104Z"
"66e6986f0c8eb3eec2831244","https://res.cloudinary.com/dybgs03yy/video/upload/v1726385255/wsdzuuyrka8rj3ypqmg7.mp4","https://res.cloudinary.com/dybgs03yy/image/upload/v1727475062/scmgwjuky4api60bhslp.jpg","Mastering SQL Queries","Dive into SQL and learn how to write complex queries to manage and analyze data.",0,true,"coding","66619677acfebd8a444b9c43","2024-09-15T08:18:55.104Z","2024-09-15T08:18:55.104Z"
